A,B,C,value,status
SACOLA PLASTICA MM BRANCA,,,0.03334819285371374,1
SACOLA PLASTICA MM CINZA,,,0.009388930800356628,1
PAPEL TOALHA KITCHEN JUMB FD C360FL,,,0.008732825823560341,1
SACOLA PLASTICA MM VERDE,,,0.008645954781336443,1
CR DE LEITE PIRACANJUBA TP 200G,,,0.008372768214342866,1
OLEO SOJA LIZA PET 900ML,,,0.007901835722286995,1
CERV QUILMES CLASSICA LN 340ML,,,0.00673364881238141,1
PAPEL REPORT MULT A4 BRANCO 500 F,,,0.006707358891708388,1
ACUC REF UNIAO 1KG,,,0.006468463525592666,1
MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,,0.0060272500742976015,1
SACOLA PLASTICA MM BRANCA,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00144708867704547,2
SACOLA PLASTICA MM BRANCA,CR DE LEITE PIRACANJUBA TP 200G,,0.0004297830510024461,2
SACOLA PLASTICA MM BRANCA,OLEO SOJA LIZA PET 900ML,,0.000286903047344718,2
SACOLA PLASTICA MM BRANCA,PAPEL REPORT MULT A4 BRANCO 500 F,,0.0003703449694808312,2
SACOLA PLASTICA MM BRANCA,ACUC REF UNIAO 1KG,,0.00027432960702283794,2
SACOLA PLASTICA MM BRANCA,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0008538509018585831,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,SACOLA PLASTICA MM BRANCA,,0.0014207987563724482,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,CR DE LEITE PIRACANJUBA TP 200G,,0.0004126374505635187,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,OLEO SOJA LIZA PET 900ML,,0.00032576640833962005,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,PAPEL REPORT MULT A4 BRANCO 500 F,,0.0002171776055597467,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,ACUC REF UNIAO 1KG,,0.0004617881718217772,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0008447065816244885,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,SACOLA PLASTICA MM CINZA,,0.0004206387307683515,2
PAPEL TOALHA KITCHEN JUMB FD C360FL,SACOLA PLASTICA MM VERDE,,0.0002594700866424342,2
PAO FRANCES MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.0011144640285302792,2
PAO FRANCES MEMBERS MARK,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.000371488009510093,2
PAO FRANCES MEMBERS MARK,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002914752074617653,2
PAO FRANCES MEMBERS MARK,SACOLA PLASTICA MM VERDE,,0.00021489152550122306,2
BANANA PRATA KG,SACOLA PLASTICA MM BRANCA,,0.000886999062707176,2
BANANA PRATA KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0004446425713828498,2
BANANA PRATA KG,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002777587271106234,2
BANANA PRATA KG,SACOLA PLASTICA MM CINZA,,0.0002068902452963903,2
BANANA PRATA KG,SACOLA PLASTICA MM VERDE,,0.00021603456553048487,2
